Title,URL,Date,Description,Text
'Biggest case on the planet' pits kids vs. climate change,https://www.nationalgeographic.com/science/article/kids-sue-us-government-climate-change,11-09-2018,"A pioneering lawsuit against the U.S. government has won the right to a trial, overcoming the Trump administration's efforts to cancel it in court.","On January 17, 2020, a federal appeals court threw the case of Juliana v. United States out and advised the young plaintiffs to seek remedy for climate change from Congress or through elections. A three-judge panel agreed that the government played a role in causing climate change. But the 2-1 majority maintained that federal courts have no power to order corrective action. In a blistering dissent, Judge Josephine Staton wrote: ""...the government accepts as fact that the United States has reached a tipping point crying out for a concerted response—yet presses ahead toward calamity. It is as if an asteroid were barreling toward Earth and the government decided to shut down our only defenses. Seeking to quash this suit, the government bluntly insists that it has the absolute right and unreviewable power to destroy the Nation."" Lawyers for the youths said they intend to appeal the ruling to the full Ninth Circuit Court of Appeals. [ On November 8, 2018, the trial in the case of Juliana v. United States was delayed again by the Ninth Circuit Court of Appeals. (Read more on this update here.) Below, read our article on this case that was originally published on March 17, 2017.]

Levi Draheim is a nine-year-old science geek. He founded an environmental club as a fourth grader and gives talks about climate change to audiences of grown-ups. His home is on a slender barrier island on Florida’s Atlantic coast, 21 miles south of Cape Canaveral and a five-minute walk from the beach. By mid-century, his sandy childhood playground could be submerged by rising seas. He will be just 42.

Nathan Baring is 17 and a high school junior in Fairbanks, Alaska—120 miles south of the Arctic Circle. He loves cold weather and skis. The Arctic is warming twice as fast as the rest of the planet. Now winter snows that Baring once celebrated as early as August in Fairbanks can hold off until November. On January 17, 2020, a federal appeals court threw the case of Juliana v. United States out and advised the young plaintiffs to seek remedy for climate change from Congress or through elections. A three-judge panel agreed that the government played a role in causing climate change. But the 2-1 majority maintained that federal courts have no power to order corrective action. In a blistering dissent, Judge Josephine Staton wrote: ""...the government accepts as fact that the United States has reached a tipping point crying out for a concerted response—yet presses ahead toward calamity. It is as if an asteroid were barreling toward Earth and the government decided to shut down our only defenses. Seeking to quash this suit, the government bluntly insists that it has the absolute right and unreviewable power to destroy the Nation."" Lawyers for the youths said they intend to appeal the ruling to the full Ninth Circuit Court of Appeals. [ On November 8, 2018, the trial in the case of Juliana v. United States was delayed again by the Ninth Circuit Court of Appeals. (Read more on this update here.) Below, read our article on this case that was originally published on March 17, 2017.]

Levi Draheim is a nine-year-old science geek. He founded an environmental club as a fourth grader and gives talks about climate change to audiences of grown-ups. His home is on a slender barrier island on Florida’s Atlantic coast, 21 miles south of Cape Canaveral and a five-minute walk from the beach. By mid-century, his sandy childhood playground could be submerged by rising seas. He will be just 42.

Nathan Baring is 17 and a high school junior in Fairbanks, Alaska—120 miles south of the Arctic Circle. He loves cold weather and skis. The Arctic is warming twice as fast as the rest of the planet. Now winter snows that Baring once celebrated as early as August in Fairbanks can hold off until November."
'Extreme Weather' Film Connects Nature's Fury to Climate Change,https://www.nationalgeographic.com/science/article/extreme-weather-imax-film-stormchasers-glacier-calving-wildfires,10-13-2016,Filmmaker behind new IMAX documentary also shares how his team made such stunning imagery—and sometimes it was harrowing.,"Hear the rumble of ice blocks shearing off the edge of a glacier. See the destructive power of a tornado’s swirling winds. Watch flames devour a forest as if it were so many matchsticks.

These dramatic scenes are presented in the new IMAX documentary film Extreme Weather, produced by National Geographic and appearing in theaters starting October 15.

More than two years in the making, the film takes viewers from Alaska to California to witness the awesome power of the Earth. It offers a front-row seat on a fast-changing and dangerous world. Hear the rumble of ice blocks shearing off the edge of a glacier. See the destructive power of a tornado’s swirling winds. Watch flames devour a forest as if it were so many matchsticks.

These dramatic scenes are presented in the new IMAX documentary film Extreme Weather, produced by National Geographic and appearing in theaters starting October 15.

More than two years in the making, the film takes viewers from Alaska to California to witness the awesome power of the Earth. It offers a front-row seat on a fast-changing and dangerous world."
'Lost Continent' Expedition Provides Clues to Earth's History,https://www.nationalgeographic.com/science/article/zealandia-continent-tectonic-research-discovery-spd,09-27-2017,"A team of scientists set out to study the region known as ""Zealandia."" What they found dates back millions of years.","So far, we don't know much about the world's disputed ""lost continent,"" but a group of scientists set out to change that.

For two months, a team of 32 scientists from the International Ocean Discovery Program explored a region—being called Zealandia—that lies just east of Australia. Zealandia is roughly the size of India and is only now being explored because for many years it sat unknown, at depths ranging from 8,000 to 13,000 feet below the sea. The researchers collected a host of data, including by drilling into seabed, retrieving 8,202 feet of sediment cores.

In these cores, the team found records of life in the region dating back millions of years. So far, we don't know much about the world's disputed ""lost continent,"" but a group of scientists set out to change that.

For two months, a team of 32 scientists from the International Ocean Discovery Program explored a region—being called Zealandia—that lies just east of Australia. Zealandia is roughly the size of India and is only now being explored because for many years it sat unknown, at depths ranging from 8,000 to 13,000 feet below the sea. The researchers collected a host of data, including by drilling into seabed, retrieving 8,202 feet of sediment cores.

In these cores, the team found records of life in the region dating back millions of years."
'Society of the Snow' would’ve gone differently in today’s climate,https://www.nationalgeographic.com/environment/article/society-of-the-snow-climate-change,02-20-2024,"Snowfall is declining in the drought-stricken Andes, and the plane may not have had survivors if it landed on today’s rocky terrain.","The plane crashed into the Andes, lost its wings and tail, and slid for 2,000 feet at hundreds of miles per hour; passenger Roberto Canessa thought he was dead.

Instead, Canessa, a then rugby player and medical student, was about to be part of an iconic survival story, one that was recently portrayed in the Oscar-nominated film, Society of the Snow.

“I looked toward the back of the plane, through the gaping maw where a snowy universe was visible, a world indifferent to the terror and plight around us,” he later wrote in his memoir published in 2016. The plane crashed into the Andes, lost its wings and tail, and slid for 2,000 feet at hundreds of miles per hour; passenger Roberto Canessa thought he was dead.

Instead, Canessa, a then rugby player and medical student, was about to be part of an iconic survival story, one that was recently portrayed in the Oscar-nominated film, Society of the Snow.

“I looked toward the back of the plane, through the gaping maw where a snowy universe was visible, a world indifferent to the terror and plight around us,” he later wrote in his memoir published in 2016."
'This Is Really Extreme Science': Adrift in the Arctic Ice With a Shipload of Norwegians,https://www.nationalgeographic.com/science/article/150223-arctic-ice-ship-lance-norway-global-warming-environment,02-24-2015,"Our correspondent reports from a Norwegian research ship that's drifting inside the Arctic ice cap, gathering data needed to predict its future.","R.V. LANCE, 82.6 Degrees North—Curious polar bears, venturing too close to working scientists, have had to be scared off with flares shot from a gun. Temperatures plunging 40 degrees below zero have snapped cables and crippled electronic instruments. But after six weeks of total darkness, the faintest daylight is finally reaching the frozen Arctic Ocean, where a Norwegian research vessel has been drifting through the polar night, tethered to a block of sea ice.

Going with the floe is the whole idea. To better understand how sea ice behaves in the Arctic, scientists aboard the R.V. Lance have embarked on a six-month study, sponsored by the Norwegian Polar Institute (NPI), to closely monitor sea ice across its entire seasonal life cycle—from the time when the new ice forms in winter until it melts in early summer.

Although Norwegians have a long history of polar exploration—in the coming months the Lance should cross the path of the illustrious Fram, the ship on which Fridtjof Nansen and his crew allowed themselves to be locked in the ice in 1893—this is still an unprecedented scientific expedition. (Read about the voyage of the Fram.) R.V. LANCE, 82.6 Degrees North—Curious polar bears, venturing too close to working scientists, have had to be scared off with flares shot from a gun. Temperatures plunging 40 degrees below zero have snapped cables and crippled electronic instruments. But after six weeks of total darkness, the faintest daylight is finally reaching the frozen Arctic Ocean, where a Norwegian research vessel has been drifting through the polar night, tethered to a block of sea ice.

Going with the floe is the whole idea. To better understand how sea ice behaves in the Arctic, scientists aboard the R.V. Lance have embarked on a six-month study, sponsored by the Norwegian Polar Institute (NPI), to closely monitor sea ice across its entire seasonal life cycle—from the time when the new ice forms in winter until it melts in early summer.

Although Norwegians have a long history of polar exploration—in the coming months the Lance should cross the path of the illustrious Fram, the ship on which Fridtjof Nansen and his crew allowed themselves to be locked in the ice in 1893—this is still an unprecedented scientific expedition. (Read about the voyage of the Fram.)"
'We just need more hands': Climate experts weigh in on what we can save,https://www.nationalgeographic.com/environment/article/we-just-need-more-hands-climate-experts-weigh-in-on-what-we-can-save,09-30-2021,Two experts explain why they think warming is on people’s minds more and what the public can do to help curb climate change.,"In the decades-long struggle to forestall climate change, some moments have seemed like turning points. In 1992, with much fanfare, the world’s nations signed a treaty at Rio de Janeiro promising action; in 2015, after contentious negotiations, they pledged in Paris to adopt national plans to limit greenhouse emissions. Yet through it all, global greenhouse emissions kept rising—until 2020, when they fell some 7 percent, as a result of reduced fossil fuel usage during global COVID-19 lockdowns.

Ahead of another international gathering in Glasgow this November aimed at reducing carbon emissions, the U.S. Congress is now considering major legislative action on climate change. And the public conversation seems to be taking a hopeful turn. This week, a Yale/George Mason University poll found that for the first time a majority of Americans believe that people in the U.S. are being harmed by climate change. A year of extreme and deadly weather events likely drove the issue home.

National Geographic environment reporter Alejandra Borunda and I spoke recently with two expert observers about whether 2021 finally marks a watershed in public opinion and action. Katharine Hayhoe is a climate scientist at Texas Tech University, chief scientist of the Nature Conservancy, and author of Saving Us, a book about how to talk about climate change. Katharine Wilkinson, a best-selling climate writer and podcaster, is co-editor of All We Can Save, a book of essays on climate by women. In the decades-long struggle to forestall climate change, some moments have seemed like turning points. In 1992, with much fanfare, the world’s nations signed a treaty at Rio de Janeiro promising action; in 2015, after contentious negotiations, they pledged in Paris to adopt national plans to limit greenhouse emissions. Yet through it all, global greenhouse emissions kept rising—until 2020, when they fell some 7 percent, as a result of reduced fossil fuel usage during global COVID-19 lockdowns.

Ahead of another international gathering in Glasgow this November aimed at reducing carbon emissions, the U.S. Congress is now considering major legislative action on climate change. And the public conversation seems to be taking a hopeful turn. This week, a Yale/George Mason University poll found that for the first time a majority of Americans believe that people in the U.S. are being harmed by climate change. A year of extreme and deadly weather events likely drove the issue home.

National Geographic environment reporter Alejandra Borunda and I spoke recently with two expert observers about whether 2021 finally marks a watershed in public opinion and action. Katharine Hayhoe is a climate scientist at Texas Tech University, chief scientist of the Nature Conservancy, and author of Saving Us, a book about how to talk about climate change. Katharine Wilkinson, a best-selling climate writer and podcaster, is co-editor of All We Can Save, a book of essays on climate by women."
"1,500-year-old garbage dumps reveal city’s surprising collapse",https://www.nationalgeographic.com/culture/article/ancient-garbage-dump-elusa-reveals-surprising-city-collapse,03-25-2019,"Archaeologists thought Elusa, a popular Roman wine center, collapsed with Islam’s arrival. Its trash reveals a very different—and alarming—reason.","Some 1,500 years ago, the city of Elusa was thriving on the southern edge of the Eastern Roman (Byzantine) empire, in what is now Israel’s Negev desert. The city of up to 20,000 residents featured a theater and public baths, churches and craft workshops, and innovative water management systems that enabled Elusa’s citizens to cultivate their most famous export: Gaza wine, a prized white vintage that was shipped across the Mediterranean to ports as far as France.

Within two centuries, however, the Byzantine city of Elusa (also known as Haluza) had collapsed, leaving behind ancient buildings picked apart by later generations or simply buried beneath shifting sand dunes.

Olive pits recovered from a trash mound at Elusa provide insight into the residents' diet.

PHOTOGRAPH BY GUY BAR-OZ

Historians have generally believed that Byzantine social and economic systems in the Negev region declined with the rise of the early Islamic period in the mid-seventh century, a time which ushered in changes like restrictions on wine production, a commodity that generated a lot of money and trade for Elusa. Some 1,500 years ago, the city of Elusa was thriving on the southern edge of the Eastern Roman (Byzantine) empire, in what is now Israel’s Negev desert. The city of up to 20,000 residents featured a theater and public baths, churches and craft workshops, and innovative water management systems that enabled Elusa’s citizens to cultivate their most famous export: Gaza wine, a prized white vintage that was shipped across the Mediterranean to ports as far as France.

Within two centuries, however, the Byzantine city of Elusa (also known as Haluza) had collapsed, leaving behind ancient buildings picked apart by later generations or simply buried beneath shifting sand dunes.

Olive pits recovered from a trash mound at Elusa provide insight into the residents' diet.

PHOTOGRAPH BY GUY BAR-OZ

Historians have generally believed that Byzantine social and economic systems in the Negev region declined with the rise of the early Islamic period in the mid-seventh century, a time which ushered in changes like restrictions on wine production, a commodity that generated a lot of money and trade for Elusa."
10 Easy Ways You Can Help Scientists Study the Earth,https://www.nationalgeographic.com/science/article/citizen-science-projects-environment-climate-change-weather,04-22-2017,"From weather monitoring to counting butterflies, these citizen science projects engage the public in environmental issues.","In the late 18th century, Ben Franklin made history when he invented—among other things—the lightning rod and bifocals, two tools that transformed how we understand and experience the world around us. Centuries later, Franklin is not only remembered for his specific contributions but also for serving as an example of a nonprofessional, citizen scientist.

“Hundreds of years ago, before science was specialized, everyone did science,” says Darlene Cavalier, founder of SciStarter, a curated digital database of projects that helps people find ways to get involved in citizen science.

Citizen science is often defined as science research that is conducted by people without formal degrees. It’s been a growing movement that’s gathering information about the world through many disciplines, spurred by the Internet and other new technologies. Many citizen scientists are volunteers who are passionate about the work they do and the contributions they make. In the late 18th century, Ben Franklin made history when he invented—among other things—the lightning rod and bifocals, two tools that transformed how we understand and experience the world around us. Centuries later, Franklin is not only remembered for his specific contributions but also for serving as an example of a nonprofessional, citizen scientist.

“Hundreds of years ago, before science was specialized, everyone did science,” says Darlene Cavalier, founder of SciStarter, a curated digital database of projects that helps people find ways to get involved in citizen science.

Citizen science is often defined as science research that is conducted by people without formal degrees. It’s been a growing movement that’s gathering information about the world through many disciplines, spurred by the Internet and other new technologies. Many citizen scientists are volunteers who are passionate about the work they do and the contributions they make."
10-Year-Old Discovers Rare 'Lizard Fish' Fossil,https://www.nationalgeographic.com/animals/article/fish-fossil-monastery-colombia-tourist-discovery-spd,02-02-2018,The rare fish fossil could provide insights into how marine species adapt to changing climates.,"About three years ago, a curious 10-year-old boy was touring a Colombian monastery when he saw something unusual at his feet.

He spotted what looked like a fish in the flagstones, so he took a photo. A few days later, he brought that image to a nearby Paleontological Research Center, where scientists were able to say with certainty that the boy had stumbled upon a fossil. They notified their colleagues at the University of Alberta and, with combined research efforts from multiple sources, they figured out that the boy had discovered an ancient group of fish that had never before been recorded in the Americas.

""We see that the tropical region was this melting pot of creatures that lived there,"" says Oksana Vernygora, the PhD student who led the study. ""We just need to go and explore."" About three years ago, a curious 10-year-old boy was touring a Colombian monastery when he saw something unusual at his feet.

He spotted what looked like a fish in the flagstones, so he took a photo. A few days later, he brought that image to a nearby Paleontological Research Center, where scientists were able to say with certainty that the boy had stumbled upon a fossil. They notified their colleagues at the University of Alberta and, with combined research efforts from multiple sources, they figured out that the boy had discovered an ancient group of fish that had never before been recorded in the Americas.

""We see that the tropical region was this melting pot of creatures that lived there,"" says Oksana Vernygora, the PhD student who led the study. ""We just need to go and explore."""
100 Practical Ways to Reverse Climate Change,https://www.nationalgeographic.com/science/article/climate-change-global-warming-drawdown-hawken,05-28-2017,"You know some of them—use renewable energy, eat less meat—but others will surprise you.","At a time when the science of global warming is under attack and many people complain of climate change fatigue, some cheering news occurred last month: A book about climate change became a New York Times bestseller in its first week of publication.

Drawdown: The Most Comprehensive Plan Ever Proposed to Reverse Global Warming, edited by environmentalist Paul Hawken, is the first environmental book to make such a splashy debut since Elizabeth Kolbert’s Field Notes from a Catastrophe in 2006.

Kolbert’s book warned of cataclysm; Hawken’s tries to prevent it. Bringing together geologists, engineers, agronomists, climatologists, biologists, botanists, economists, financial analysts, architects, NGOs, activists, and other experts, Drawdown offers 100 solutions to reverse global warming. At a time when the science of global warming is under attack and many people complain of climate change fatigue, some cheering news occurred last month: A book about climate change became a New York Times bestseller in its first week of publication.

Drawdown: The Most Comprehensive Plan Ever Proposed to Reverse Global Warming, edited by environmentalist Paul Hawken, is the first environmental book to make such a splashy debut since Elizabeth Kolbert’s Field Notes from a Catastrophe in 2006.

Kolbert’s book warned of cataclysm; Hawken’s tries to prevent it. Bringing together geologists, engineers, agronomists, climatologists, biologists, botanists, economists, financial analysts, architects, NGOs, activists, and other experts, Drawdown offers 100 solutions to reverse global warming."
